Sample;Ca;K;Mg;Mn;P;S;Rb/Sr
 A1;17043190,3333333;138257741;28992094,6666667;3045455;5607235;6105536,33333333;0,586006211869514
 A2;16706987,5;138564170;38523031;2207339;6793957,5;7786708,5;0,504493962807252
 A3;17354175,6666667;149952845;34084876,3333333;2588881,33333333;4884578,66666667;5634915,33333333;0,656938146817484
 A4;16461473;143554798,333333;55555934,3333333;1894211,33333333;5583252;6156773;0,65750306340349
 A5;18653120,3333333;153602981,666667;60085060,3333333;2030678,33333333;5577730,66666667;7685079;0,757863681736473
 A6;15731727;152929306,666667;51309174,6666667;2366702,33333333;7048380,33333333;6958330,33333333;0,609644902093019
 A7;19012640;153314055,666667;50980185,6666667;2935344,33333333;6414229,33333333;9790535;0,621352717167995
 A8;15829338;141914690,666667;50470070;2426553,33333333;7119680,66666667;7118655;0,518023487023927
 A9;18941814,6666667;145919476;65137142;2138492,66666667;6329670,66666667;5957471,66666667;0,672160418905844
 A10;17128932,3333333;141855507,666667;46555922,3333333;2561760,33333333;7061674,33333333;6523737,33333333;0,661173476649007
 A11;18578368,6666667;150693063;47095585,6666667;2678565,66666667;5686172,33333333;5853276,66666667;0,506122151789893
 A12;17479626;133198720,666667;45091458,3333333;2328944,33333333;5835350,66666667;10591506;0,561310005543395
 A13;15207830,3333333;123974039,666667;25479383,3333333;2426495,33333333;6274456;10465308,6666667;0,606767182448478
 A14;18437615,3333333;144999274,333333;54148541,6666667;1927104;5887476,66666667;6655009,33333333;0,755708304000739
 A15;17464466,6666667;156412803;63602568,3333333;2754109,66666667;6032591;5416714,66666667;0,684386303528385
 A16;15174197,3333333;148322965,666667;34967378,6666667;3606969,66666667;6756763,66666667;5865965,66666667;0,590625117013218
 A17;15413007,6666667;145058072,666667;53532874,3333333;2284641;6068108,33333333;6494123,33333333;0,658949090816121
 A18;16075894,6666667;137969362;56888408,3333333;2773349,66666667;7423099,66666667;9449613;0,507293400922064
 A19;15081517,6666667;140051608;48033172;1865909,33333333;6312457,66666667;9864019,33333333;0,717842373516375
 A20;15132081;140190892;44060847;2054471;5382622,33333333;8702546,66666667;0,740150347066067
 A21;14453552;161690641;48677510,3333333;1751399,66666667;4303587,66666667;5502265;0,805751640706008
 A22;16161630,6666667;149235520,666667;37208298,6666667;1834765,33333333;3784488;4527642,66666667;0,630310137161621
 A23;17197284,6666667;150235947,333333;44105306;1957029;5317026,33333333;5847982;0,554865603602849
 A24;23069427;138870963,666667;42063901,6666667;2932624;8109812,33333333;7813506,33333333;0,389780994982304
 A25;16589358;145384967,666667;68381538;2240523,33333333;7376308;6689205;0,688739023406325
 A26;18673222,3333333;147450641,666667;48571288;2991633,66666667;5610033,33333333;5653529;0,549643980078741
 A27;16937769,6666667;156874039,666667;57202431,6666667;2408097,33333333;5312183,33333333;7516159,66666667;0,628470211387535
 A28;15101140,6666667;162864603;49722599;3957630,66666667;4131764,66666667;5057489,66666667;0,802151932399834
 A29;14150997,3333333;149445605,333333;57680672,3333333;1624043,66666667;5220586;6021541,66666667;0,761552024310934
 A30;14462834;144557695,333333;51043603,6666667;2194307;5800564,33333333;6450296,33333333;0,715900215112775
 A31;16603739;134516058;32195293,3333333;1523762,66666667;5614587;7703221,66666667;0,677209900268904
 A32;15701229,6666667;158149459,666667;60081404,6666667;2019548,66666667;5861561,33333333;5544809,33333333;0,699727463648869
 A33;16545943,3333333;136377233;43072051;2000789;6635981,33333333;8372609,33333333;0,620544482747521
 A34;15983533,6666667;147013665,333333;56406192,6666667;2088867,66666667;4779835,33333333;5338764,33333333;0,605658477564567
 A35;14434956;134072265,666667;38760705,6666667;1457202,33333333;4860582,66666667;6124061;0,617194724267235
 A36;14313970,3333333;145800530,333333;48747945,3333333;3393134;4388523,33333333;5517183;0,673348419238622
 A37;14610538,6666667;140603942;43657091,6666667;1744878,66666667;4721300;5877260,66666667;0,73837261722788
 A38;15446712;132873662;40701702,6666667;1735971,33333333;4888942;6418428,66666667;0,659281977009817
 A39;16183653,3333333;135106510,333333;44148731,3333333;1927778,33333333;6893447,33333333;9163319;0,558931842996465
 A40;16961438;173425514,333333;46465342,6666667;2430944;4115828,66666667;4699971;0,859263786014607
 A41;17276607,3333333;175813503;35254418;2465390,66666667;3929779;3885981,66666667;0,874067732243937
 A42;15106013;149519310;52655447;2417086;5135123;6598490;0,625171808577483
 A43;16541504;149982861,666667;41590221,3333333;2332213,66666667;4007964;4648120,33333333;0,592600628250944
 A44;16761304,6666667;158783600;39987374;3053146,33333333;4161454;4901533,33333333;0,707930918708626
 A45;17117232;133455631,333333;43192736;1994122,66666667;5518379,33333333;8036824,33333333;0,640113389893643
 A46;13872869,6666667;149817217;51902101,3333333;1872154,33333333;6329496,33333333;7078323;0,774059827376609
 A47;15329259,3333333;138604873;35023365;1917037;5760223;8125646;0,625130037514035
 A48;15151210,6666667;121457962,333333;32118477,3333333;1841191;5623632;9998027,66666667;0,627746222586806
 A49;17241855,6666667;140856582,333333;49085157,6666667;2941119;6407952,33333333;8212566,66666667;0,523146733547451
 B1;16039724;132193404,666667;46047623,6666667;1516834;5933576;7317219;0,569058962110508
 B2;20896655;134087070,333333;46408486;2348713,66666667;7683148,33333333;9218335;0,564580211205722
 B3;18470601,3333333;149856842,666667;52196681,3333333;1997948,33333333;5793135;4633620,33333333;0,584126049853136
 B4;16576648,6666667;138149515,333333;47018495,3333333;2002152,33333333;6648990,33333333;7906468;0,634544382039914
 B5;17821807,3333333;140956686,333333;53830486,6666667;2179133,66666667;7142682,66666667;6083626,66666667;0,49221177531446
 B6;18442073,6666667;123719824;38149042;1855468,66666667;6996407,66666667;11057865,3333333;0,62058495448808
 B7;15576111,3333333;126976471,333333;41297737,6666667;2086179;7061470,66666667;11298543,3333333;0,590720602953828
 B8;16709413;146847864,333333;47473602,6666667;2211133,33333333;5619356;6582285,33333333;0,562618972591092
 B9;18631994,6666667;152771051,333333;54364852;3258503,66666667;7710944;6046139,66666667;0,638442295425792
 B10;18537679;143916403;45365187;3386325,33333333;6812163,33333333;6364126,66666667;0,55324730154333
 B11;16137530,3333333;136042841,666667;45873931,3333333;1846765,66666667;4966441,33333333;4621450,66666667;0,575157285432848
 B13;15632511,6666667;138782968,666667;46655576,3333333;2117195;5754042,33333333;4868428;0,586896681966255
 B14;17243887;148108310,666667;55400034,3333333;2218202;6758639,33333333;7136975,33333333;0,472092859641153
 B15;18082442,3333333;122183730,666667;44829016;2548016,66666667;7321158,33333333;10592570,6666667;0,450805916911905
 B16;17646986;132482747,333333;46991439,6666667;1791889,33333333;6609796;9587459,66666667;0,493719655457444
 B17;15576305,6666667;151608151,333333;53327482;2277243,66666667;6415036,66666667;5500533,66666667;0,608955517682335
 B18;20855100,3333333;144093261,666667;57250008,3333333;2167274;6444548,33333333;5545476,33333333;0,426987367937224
 B19;17508492,6666667;151084518,333333;40242330;2426564;6106452,33333333;6049441,66666667;0,548071108184378
 B20;21548362;152432956;40324705;2607047;5805814,66666667;5054303,33333333;0,487052041121575
 B21;16192628;124578072,666667;19448913,6666667;2506345;4979486,66666667;7209619,33333333;0,660091060895033
 B22;16819797,3333333;135364205,666667;41828665,3333333;2021826,33333333;5561483;8632066,66666667;0,619411249410009
 B23;15688104,3333333;146975065,333333;47449958,6666667;1940187,66666667;6238705;7049657;0,619914374302887
 B24;15823234,3333333;144701445,666667;55074200,6666667;2026079,33333333;6401066,66666667;6318992,33333333;0,49079579394511
 B25;17686313,6666667;149545898,333333;54247965,6666667;2280795;5893348,33333333;6073762,66666667;0,586989725076368
 B26;16125840,3333333;149262930;29276977,6666667;2336107,33333333;5033404,66666667;5523855,33333333;0,581278539349758
 B28;20196137;132896985,333333;30176110,3333333;2841480;5854186;8085255;0,543226628964915
 B29;16780033;144858912,666667;48392350,3333333;2049003,66666667;5625258,33333333;6918336,66666667;0,686307590572514
 B30;16357936;154859303;50618292,6666667;1824379,33333333;4780889;5898651,33333333;0,705957774048825
 B31;15825249;145184283,666667;42184301;1849719,66666667;5736584;6616899,66666667;0,725093220429232
 B32;16814088,6666667;152471653,666667;65946388,3333333;2602760,33333333;5725290,66666667;4477597;0,576833301390997
 B33;16664685;135751529,666667;44901473,6666667;2325097,66666667;5786559,66666667;6272290,66666667;0,578418836910187
 B34;15643240,6666667;146725332;47126936,6666667;1986120;5288490,33333333;5389363,66666667;0,612725483395229
 B35;15888025,3333333;145506699;50716727,6666667;2262853;5825627,33333333;6031942,33333333;0,721932619269141
 B36;17253832;153372499,666667;53935284,6666667;3629944,66666667;5184349,33333333;5831902,66666667;0,582645607485441
 B37;15349877,3333333;156595787,666667;41686275,3333333;3091324,33333333;5417678,33333333;5535451,66666667;0,524594098303105
 B38;15315167,6666667;143220914,333333;36480038;2706463;5184154;4476762,66666667;0,568406742015064
 B39;15955457;152500114;40948508,3333333;2311245,66666667;5171417,33333333;4451036;0,720396640841463
 B40;15881493,3333333;154563392;53770234,3333333;2305488,33333333;5331644;4294220,66666667;0,61776785298001
 B41;13995730,3333333;127777028;32747809;2250537;5373002,33333333;7029514,66666667;0,665015828219839
 B42;17848725;147509290,333333;33945287,3333333;3090868,33333333;4677773,33333333;4467314;0,713851274546933
 B43;15381698,3333333;139179023,666667;30934820,3333333;1843301,66666667;5608435;5112627,33333333;0,609465823419259
 B44;16086745;146338655,666667;50016555,3333333;1891185,33333333;4815616,66666667;5140710,33333333;0,641146965932516
 B45;17538716,6666667;152627295;41279081,3333333;2469779,66666667;5160592;3690720;0,632265138466684
 B46;15667783,6666667;152014466;57050965;2891607,66666667;5543058;5500240,33333333;0,597637577226567
 B47;15949549,6666667;119283564,333333;18895232,3333333;1717293,66666667;5450883;11546021;0,588116657761861
